! Name of species
H2O
! Number of parameters
5
! Parameter name, Number of different values, values
NHTOT
15
1.000e+02
1.000e+03
1.000e+04
3.162e+04
1.000e+05
3.162e+05
1.000e+06
3.162e+06
1.000e+07
3.162e+07
1.000e+08
3.162e+08
1.000e+09
3.162e+09
1.000e+10
T
17
1.000e+01
1.500e+01
1.800e+01
2.000e+01
2.200e+01
2.500e+01
3.000e+01
4.000e+01
5.000e+01
7.000e+01
9.000e+01
1.000e+02
1.100e+02
1.300e+02
2.000e+02
4.000e+02
1.000e+03
Alpha_UV
12
1.000e-01
1.000e+00
3.162e+00
1.000e+01
3.162e+01
1.000e+02
3.162e+02
1.000e+03
3.162e+03
1.000e+04
1.000e+05
1.000e+06
Beta_UV
8
1.000e-03
1.000e-02
1.000e-01
3.162e-01
1.000e+00
3.162e+00
1.000e+01
1.000e+02
Zeta
1
5.000e-17
! Number of timesteps / Time in s
5
1.000e+11
3.162e+11
1.000e+12
3.162e+12
1.000e+13
! Parameters (NHTOT,T,Alpha_uv,Beta_uv,Zeta) / Fractional abundance (for each timestep)
    1.000e+02    1.000e+01    3.162e+01    1.000e-01    5.000e-17    6.735e-08    2.514e-12    2.460e-12    2.335e-12    2.128e-12
    1.000e+02    1.000e+01    3.162e+01    3.162e-01    5.000e-17    5.371e-08    3.950e-12    3.878e-12    3.765e-12    3.633e-12
    1.000e+02    1.000e+01    3.162e+01    1.000e+00    5.000e-17    2.632e-08    2.629e-08    2.620e-08    1.850e-11    1.509e-11
    1.000e+02    1.000e+01    3.162e+01    3.162e+00    5.000e-17    2.637e-09    2.994e-09    3.174e-09    3.143e-09    2.988e-09
    1.000e+02    1.000e+01    3.162e+01    1.000e+01    5.000e-17    3.586e-10    1.753e-09    7.934e-09    1.216e-08    1.315e-08
    1.000e+02    1.000e+01    3.162e+01    1.000e+02    5.000e-17    3.586e-10    1.753e-09    7.940e-09    1.221e-08    1.343e-08
    1.000e+02    1.000e+01    1.000e+02    1.000e-03    5.000e-17    5.542e-13    4.923e-13    3.389e-13    1.453e-13    1.360e-13
    1.000e+02    1.000e+01    1.000e+02    1.000e-02    5.000e-17    5.852e-13    5.599e-13    4.871e-13    3.239e-13    1.509e-13
    1.000e+02    1.000e+01    1.000e+02    1.000e-01    5.000e-17    7.267e-13    7.138e-13    6.775e-13    5.950e-13    4.571e-13
    1.000e+02    1.000e+01    1.000e+02    3.162e-01    5.000e-17    1.179e-12    1.162e-12    1.130e-12    1.063e-12    9.757e-13
    1.000e+02    1.000e+01    1.000e+02    1.000e+00    5.000e-17    2.630e-08    2.627e-08    6.001e-12    4.722e-12    4.591e-12
    1.000e+02    1.000e+01    1.000e+02    3.162e+00    5.000e-17    2.762e-09    2.818e-09    2.875e-09    2.865e-09    2.800e-09
    1.000e+02    1.000e+01    1.000e+02    1.000e+01    5.000e-17    3.586e-10    1.753e-09    7.934e-09    1.215e-08    1.273e-08
    1.000e+02    1.000e+01    1.000e+02    1.000e+02    5.000e-17    3.586e-10    1.753e-09    7.940e-09    1.221e-08    1.343e-08
    1.000e+02    1.000e+01    3.162e+02    1.000e-03    5.000e-17    1.158e-13    7.870e-14    2.338e-14    6.949e-15    7.855e-15
    1.000e+02    1.000e+01    3.162e+02    1.000e-02    5.000e-17    1.329e-13    1.167e-13    7.714e-14    2.351e-14    7.258e-15
    1.000e+02    1.000e+01    3.162e+02    1.000e-01    5.000e-17    1.764e-13    1.685e-13    1.476e-13    1.060e-13    5.166e-14
    1.000e+02    1.000e+01    3.162e+02    3.162e-01    5.000e-17    3.102e-13    3.029e-13    2.836e-13    2.469e-13    1.996e-13
    1.000e+02    1.000e+01    3.162e+02    1.000e+00    5.000e-17    2.629e-08    1.841e-12    1.438e-12    1.370e-12    1.323e-12
    1.000e+02    1.000e+01    3.162e+02    3.162e+00    5.000e-17    2.736e-09    2.757e-09    2.778e-09    2.775e-09    2.743e-09
    1.000e+02    1.000e+01    3.162e+02    1.000e+01    5.000e-17    3.586e-10    1.753e-09    7.933e-09    1.213e-08    1.173e-08
    1.000e+02    1.000e+01    3.162e+02    1.000e+02    5.000e-17    3.586e-10    1.753e-09    7.940e-09    1.221e-08    1.343e-08
    1.000e+02    1.000e+01    1.000e+03    1.000e-03    5.000e-17    1.304e-14    3.342e-15    2.764e-16    2.987e-16    2.989e-16
    1.000e+02    1.000e+01    1.000e+03    1.000e-02    5.000e-17    2.016e-14    1.348e-14    3.644e-15    3.008e-16    3.188e-16
    1.000e+02    1.000e+01    1.000e+03    1.000e-01    5.000e-17    3.108e-14    2.781e-14    2.003e-14    8.388e-15    1.094e-15
    1.000e+02    1.000e+01    1.000e+03    3.162e-01    5.000e-17    6.357e-14    6.030e-14    5.223e-14    3.856e-14    2.229e-14
    1.000e+02    1.000e+01    1.000e+03    1.000e+00    5.000e-17    5.123e-13    4.002e-13    3.790e-13    3.493e-13    3.265e-13
    1.000e+02    1.000e+01    1.000e+03    3.162e+00    5.000e-17    2.727e-09    2.737e-09    2.747e-09    2.745e-09    2.727e-09
    1.000e+02    1.000e+01    1.000e+03    1.000e+01    5.000e-17    3.586e-10    1.752e-09    7.930e-09    1.207e-08    1.012e-08
    1.000e+02    1.000e+01    1.000e+03    1.000e+02    5.000e-17    3.586e-10    1.753e-09    7.940e-09    1.221e-08    1.343e-08
    1.000e+02    1.000e+01    3.162e+03    1.000e-03    5.000e-17    2.925e-16    1.008e-17    1.005e-17    1.006e-17    1.006e-17
    1.000e+02    1.000e+01    3.162e+03    1.000e-02    5.000e-17    1.563e-15    3.632e-16    1.190e-17    1.077e-17    1.079e-17
    1.000e+02    1.000e+01    3.162e+03    1.000e-01    5.000e-17    3.645e-15    2.708e-15    1.074e-15    7.672e-17    2.129e-17
    1.000e+02    1.000e+01    3.162e+03    3.162e-01    5.000e-17    8.990e-15    8.097e-15    6.038e-15    2.996e-15    5.521e-16
