! Name of species
CO
! Number of parameters
5
! Parameter name, Number of different values, values
NHTOT
15
1.000e+02
1.000e+03
1.000e+04
3.162e+04
1.000e+05
3.162e+05
1.000e+06
3.162e+06
1.000e+07
3.162e+07
1.000e+08
3.162e+08
1.000e+09
3.162e+09
1.000e+10
T
17
1.000e+01
1.500e+01
1.800e+01
2.000e+01
2.200e+01
2.500e+01
3.000e+01
4.000e+01
5.000e+01
7.000e+01
9.000e+01
1.000e+02
1.100e+02
1.300e+02
2.000e+02
4.000e+02
1.000e+03
Alpha_UV
12
1.000e-01
1.000e+00
3.162e+00
1.000e+01
3.162e+01
1.000e+02
3.162e+02
1.000e+03
3.162e+03
1.000e+04
1.000e+05
1.000e+06
Beta_UV
8
1.000e-03
1.000e-02
1.000e-01
3.162e-01
1.000e+00
3.162e+00
1.000e+01
1.000e+02
Zeta
1
5.000e-17
! Number of timesteps / Time in s
5
1.000e+11
3.162e+11
1.000e+12
3.162e+12
1.000e+13
! Parameters (NHTOT,T,Alpha_uv,Beta_uv,Zeta) / Fractional abundance (for each timestep)
    1.000e+02    1.000e+01    1.000e+00    3.162e-01    5.000e-17    7.439e-05    6.589e-05    4.471e-05    1.309e-05    3.896e-07
    1.000e+02    1.000e+01    1.000e+00    1.000e+00    5.000e-17    7.836e-05    7.772e-05    7.558e-05    6.886e-05    4.912e-05
    1.000e+02    1.000e+01    1.000e+00    3.162e+00    5.000e-17    7.846e-05    7.806e-05    7.666e-05    7.224e-05    5.867e-05
    1.000e+02    1.000e+01    1.000e+00    1.000e+01    5.000e-17    7.846e-05    7.806e-05    7.666e-05    7.227e-05    5.973e-05
    1.000e+02    1.000e+01    1.000e+00    1.000e+02    5.000e-17    7.846e-05    7.806e-05    7.666e-05    7.227e-05    5.973e-05
    1.000e+02    1.000e+01    3.162e+00    1.000e-03    5.000e-17    7.987e-07    5.278e-08    5.245e-08    7.570e-11    7.437e-11
    1.000e+02    1.000e+01    3.162e+00    1.000e-02    5.000e-17    4.895e-06    9.832e-08    8.629e-08    1.250e-10    1.239e-10
    1.000e+02    1.000e+01    3.162e+00    1.000e-01    5.000e-17    3.409e-05    5.719e-06    2.721e-07    4.477e-10    4.382e-10
    1.000e+02    1.000e+01    3.162e+00    3.162e-01    5.000e-17    6.626e-05    4.569e-05    1.416e-05    4.979e-07    2.283e-09
    1.000e+02    1.000e+01    3.162e+00    1.000e+00    5.000e-17    7.813e-05    7.700e-05    7.332e-05    6.229e-05    3.485e-05
    1.000e+02    1.000e+01    3.162e+00    3.162e+00    5.000e-17    7.846e-05    7.806e-05    7.666e-05    7.221e-05    5.844e-05
    1.000e+02    1.000e+01    3.162e+00    1.000e+01    5.000e-17    7.846e-05    7.806e-05    7.666e-05    7.227e-05    5.973e-05
    1.000e+02    1.000e+01    3.162e+00    1.000e+02    5.000e-17    7.846e-05    7.806e-05    7.666e-05    7.227e-05    5.973e-05
